ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url
865346,q1s,09/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,Aménagement des seguias au niveau du périmètre Tazmamart CT Guers Tiaallaline,OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,04/02/2025 11:30,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865346&orgAcronyme=q1s
865351,q1s,10/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,"Construction des canaux d’irrigation dans la zone de la grande hydraulique de l’ORMVA du Tafilalet en trois (03) lots : Lot 1 : Construction des canaux d’irrigation dans la plaine du Tafilalet, Province d’Errachidia. Lot 2 : Construction des canaux d’irrigation dans la Vallée de Ziz , Province d’Errachidia. Lot 3 : Construction des canaux d’irrigation dans le Périmètre Ansegmir, province de Midelt.",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,04/02/2025 12:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865351&orgAcronyme=q1s
865353,d4q,TN4127320/2025/ONEEBELEC,Appel d'offres ouvert,AOO,Travaux,"Fourniture et l’installation des sectionneurs 72,5 kV et 245kV pour le compte de la Division Exploitation Kenitra",OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,RABAT,13/01/2025,20/02/2025 09:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865353&orgAcronyme=d4q
865356,q9t,07/2025/CHUIS,Appel d'offres ouvert,AOO,Travaux,Les Travaux de construction des locaux du service de la médecine nucléaire (en éléments industriels) à l’institut national d’oncologie (INO) relevant du CHUIS,CENTRE HOSPITALIER UNIVERSITAIRE IBN SINA RABAT,Wilaya de Rabat,13/01/2025,04/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865356&orgAcronyme=q9t
865357,z9k,01/2025/CG,Appel d'offres ouvert,AOO,Travaux,: Travaux de construction d’un terrain de sport de proximité au douar khnizane.,Commune rurale de GUETTAYA,BENI MELLAL,13/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865357&orgAcronyme=z9k
865371,g3h,003/2025/SDL3TD,Appel d'offres ouvert,AOO,Travaux,Extension du réseau de réutilisation des eaux usées traitées 3ème phase (Stations de pompage),SDL - TANGER TETOUAN TRAVAUX DE DISTIBUTION SA,TANGER-ASSILAH,14/01/2025,06/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865371&orgAcronyme=g3h
865376,q1s,11/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,"Réhabilitation des réseaux d’irrigation dans la zone de la grande hydraulique en trois (03) lots : Lot 1: Réhabilitation des canaux d’irrigation dans la Plaine du Tafilalet, Province d’Errachidia. Lot 2: Réhabilitation des canaux d’irrigation dans la Vallée du Ziz, Province d’Errachidia. Lot 3: Réhabilitation des canaux d’irrigation dans le périmètre Ansgmir, Povince de Midelt.",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865376&orgAcronyme=q1s
865380,o8p,015/25/AOO/ONDA,Appel d'offres ouvert,AOO,Travaux,Travaux de réfection du chemin de ronde à l'aéroport de Casablanca Mohammed V,OFFICE NATIONAL DES AEROPORTS,NOUACEUR,13/01/2025,06/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865380&orgAcronyme=o8p
865383,q1s,12/2025/ORTAF,Appel d'offres ouvert,AOO,Travaux,Travaux de création des forages pour l’irrigation dans la zone d’action de l’ORMVA du Tafilalet en deux (02) lots : Lot 1 : Travaux de création des forages pour l’irrigation dans la province d’Errachidia. Lot 2 : Travaux de création des forages pour l’irrigation dans la province de Midelt.,OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE DE TAFILALET,ERRACHIDIA,13/01/2025,05/02/2025 10:30,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865383&orgAcronyme=q1s
865384,g3h,004/2025/SDL3TD,Appel d'offres ouvert,AOO,Travaux,Extension du réseau de réutilisation des eaux usées traitées 3ème phase (Construction du réservoir El Khair 2500 m3),SDL - TANGER TETOUAN TRAVAUX DE DISTIBUTION SA,TANGER-ASSILAH,14/01/2025,06/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865384&orgAcronyme=g3h
865416,g3h,397/2024/SRMCS,Appel d'offres ouvert,AOO,Services,PRESTATION D’ASSISTANCE TECHNIQUE ET SUIVI DES TRAVAUX (lots 1 à 5),SOCIETE REGIONALE MULTISERVICES CASABLANCA - SETTAT SA,EL JADIDA,13/01/2025,06/02/2025 09:30,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865416&orgAcronyme=g3h
865424,q1s,01/ONSSA/DR7/2025,Appel d'offres ouvert,AOO,Fournitures,l’achat de produits pharmaceutiques à usage vétérinaire - réparti en 4 lots.,OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES - DIRECTION REGIONALE DE LA REGION LAAYOUNE-SAKIA EL HAMRA,GUELMIM,13/01/2025,25/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865424&orgAcronyme=q1s
865433,q1s,02/ONSSA/DR7/2025,Appel d'offres ouvert,AOO,Services,l’Opération d’identification des camelins dans les provinces du Sud du Maroc - réparti en 04 lots.,OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES - DIRECTION REGIONALE DE LA REGION LAAYOUNE-SAKIA EL HAMRA,GUELMIM,13/01/2025,26/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865433&orgAcronyme=q1s
865437,q1s,03/ONSSA/DR7/2025,Appel d'offres ouvert,AOO,Services,"Assistance technique pour le fonctionnement des dispositifs de désinfection des moyens de transport des marchandises au niveau du poste d’inspection frontalier (PF) de Guergarat, de retour au Maroc en provenance des pays africains-lot unique",OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES - DIRECTION REGIONALE DE LA REGION LAAYOUNE-SAKIA EL HAMRA,-,13/01/2025,26/02/2025 15:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865437&orgAcronyme=q1s
865445,q1s,04/ONSSA/DR7/2025,Appel d'offres ouvert,AOO,Travaux,"l’Opération de traitement des plantations de cactus infestées par la cochenille dans la région de Guelmim Oued Noune, réparti en 2 lots:",OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES - DIRECTION REGIONALE DE LA REGION LAAYOUNE-SAKIA EL HAMRA,-,13/01/2025,27/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865445&orgAcronyme=q1s
865449,q1s,05/ONSSA/DR7/2025,Appel d'offres ouvert,AOO,Travaux,"l’Opération d’arrachage et de destruction des plantations de cactus infestées par la cochenille dans la région de Guelmim Oued Noune, réparti en 2 lots :",OFFICE NATIONAL DE SECURITE SANITAIRE DES PRODUITS ALIMENTAIRES - DIRECTION REGIONALE DE LA REGION LAAYOUNE-SAKIA EL HAMRA,-,13/01/2025,27/02/2025 15:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865449&orgAcronyme=q1s
865450,a1z,1T/CC/2025,Appel d'offres ouvert,AOO,Services,CESSION PAR LA VENTE AUX ENCHÈRES PUBLIQUES POUR UN BIEN APPARTENANT AU DOMAINE PRIVE DE LA COMMUNE DE CASABLANCA,Commune urbaine de CASABLANCA,CASABLANCA,13/01/2025,05/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865450&orgAcronyme=a1z
865455,a1z,2T/CC/2025,Appel d'offres ouvert,AOO,Services,CESSION PAR LA VENTE AUX ENCHÈRES PUBLIQUES POUR UN BIEN APPARTENANT AU DOMAINE PRIVE DE LA COMMUNE DE CASABLANCA,Commune urbaine de CASABLANCA,CASABLANCA,13/01/2025,05/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865455&orgAcronyme=a1z
865457,o8p,03/2025/GU/PRO,Appel d'offres ouvert,AOO,Services,Programme de réhabilitation des zones sinistrées par les inondations au sud –Est du Royaume 2024-2026 : Réalisation des essais de contrôle et suivi de la qualité des travaux de reconstruction d’un ouvrage d’art au PK 24+000 de la RP 1315 dans la Province de Guelmim.,DIRECTION PROVINCIALE DE L'EQUIPEMENT DU TRANSPORT ET DE LA LOGISTIQUE DE QUELMIM,GUELMIM,15/01/2025,19/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865457&orgAcronyme=o8p
865462,o8p,04/2025/GU/PRO,Appel d'offres ouvert,AOO,Services,Programme de réhabilitation des zones sinistrées par les inondations au sud –Est du Royaume 2024-2026 : Réalisation des essais de contrôle et suivi de la qualité des travaux de reconstruction d’un ouvrage d’art sur Oued Amtoudy au PK 29+000 de la RP 1315 dans la Province de Guelmim.,DIRECTION PROVINCIALE DE L'EQUIPEMENT DU TRANSPORT ET DE LA LOGISTIQUE DE QUELMIM,GUELMIM,15/01/2025,19/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865462&orgAcronyme=o8p
865463,o8p,06/2025/GU/PRO,Appel d'offres ouvert,AOO,Services,Programme de réhabilitation des zones sinistrées par les inondations au sud –Est du Royaume 2024-2026 : Contrôle topographiques des travaux de reconstruction d’un ouvrage d’art au PK 24+000 de la RP 1315 dans la Province de Guelmim.,DIRECTION PROVINCIALE DE L'EQUIPEMENT DU TRANSPORT ET DE LA LOGISTIQUE DE QUELMIM,GUELMIM,15/01/2025,11/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865463&orgAcronyme=o8p
865465,o8p,07/2025/GU/PRO,Appel d'offres ouvert,AOO,Services,Programme de réhabilitation des zones sinistrées par les inondations au sud –Est du Royaume 2024-2026 : Contrôle topographique des travaux de reconstruction d’un ouvrage d’art sur Oued Amtoudy au PK 29+000 de la RP 1315 dans la Province de Guelmim.,DIRECTION PROVINCIALE DE L'EQUIPEMENT DU TRANSPORT ET DE LA LOGISTIQUE DE QUELMIM,GUELMIM,15/01/2025,11/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865465&orgAcronyme=o8p
865471,j8k,AO/08/2025,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’ELECTRIFICATION LOT2 (HORS SITE) : REALISATION DU NOUVEAU POSTE REPARITEUR 22/22 KV EL HAJEB ET UNE LIGNE 22 KV A DEUX TERNES « BOUFEKRANE II-EL HAJEB » A STRUCTURE 60 KV DU LOTISSEMENT YAKOUT 3 COMMUNE EL HAJEB PROVINCE EL HAJEB,SOCIETE AL OMRANE FES MEKNES,EL-HAJEB,13/01/2025,07/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865471&orgAcronyme=j8k
865474,h5r,01/2025,Appel d'offres ouvert,AOO,Travaux,CONSTRUCTION ET AMENAGEMENT DES PISTES AVEC DES MATERIAUX SELECTIONNES PROVINCE DE BERRECHID,Commune rurale de LAGHNIMYINE,BERRECHID,13/01/2025,05/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865474&orgAcronyme=h5r
865476,g3h,01/SODEP/2025/F,Appel d'offres ouvert,AOO,Fournitures,FOURNITURE ET LIVRAISON DU GASOIL POUR LE PARC D'ENGINS DE CHANTIERS GERE PAR LA SODEP.SA TAZA.,SOCIETE DE DEVELOPPEMENT PROVINCIAL DE TAZA,TAZA,13/01/2025,10/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865476&orgAcronyme=g3h
865497,b1d,14/CL/2025,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D'AMÉNAGEMENT DES TROTTOIRS DES ÉTABLISSEMENTS SCOLAIRE À LA COMMUNE DE LAAYOUNE-PROVINCE DE LAAYOUNE. Lot N°01: Travaux d'Aménagement des Trottoirs de Lycée Collégial MAGHRIB ALARABI. Lot N°02: Travaux d'Aménagement des Trottoirs de Lycée Qualifiant 14 AOUT. Lot N°03: Travaux d'Aménagement des Trottoirs d'école Primaire 20 AOUT. Lot N°04: Travaux d'Aménagement des Trottoirs d'école Primaire OUM SALAMA. Lot N°05: Travaux d'Aménagement des Trottoirs d'Ecole Primaire ANAS IBN MALIK. Lot N°06: Travaux d'Aménagement des Trottoirs de Lycée Collégial SAKIA AL HAMRA. Lot N°07: Travaux d'Aménagement des Trottoirs d'Ecole Primaire ALWIFAQ. Lot N°8: Travaux d'Aménagement des Trottoirs d'Ecole Primaire KHALED IBN WALID. Lot N°9: Travaux d'Aménagement des Trottoirs d'Ecole Primaire MAARAKAT TISLATINE. Lot N°10: Travaux d'Aménagement des Trottoirs d'Ecole Primaire MAARAKAT DCHAIRA.,Commune urbaine de LAAYOUNE,LAAYOUNE,13/01/2025,14/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865497&orgAcronyme=b1d
865500,g3h,01/EA/25,Appel d'offres ouvert,AOO,Services,Assistance technique pour la conduite des projets de sécurité informatique et datacenter et la mise en place du système de management de la sécurité informatique au profit de la RADEET,REGIE AUTONOME DE DISTRIBUTION D'EAU ET D'ELECTRICITE DE TADLA,BENI MELLAL,14/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865500&orgAcronyme=g3h
865502,w6x,AOO/PM/2025/3416,Appel d'offres ouvert,AOO,Travaux,Aménagement d’un restaurant marocain au niveau du rez-de chaussée de l’hôtel Marriott Rabat Lot « conception et exécution »,MADAEF,RABAT,13/01/2025,03/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865502&orgAcronyme=w6x
865509,g3h,03/E/25,Appel d'offres ouvert,AOO,Fournitures,"Fourniture, transport et pose des débitmètres électromagnétiques",REGIE AUTONOME DE DISTRIBUTION D'EAU ET D'ELECTRICITE DE TADLA,BENI MELLAL,14/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865509&orgAcronyme=g3h
865516,g3h,04/E/25,Appel d'offres ouvert,AOO,Travaux,Travaux de réhabilitation du réseau d'eau potable à la ville d'Ouled Ayad,REGIE AUTONOME DE DISTRIBUTION D'EAU ET D'ELECTRICITE DE TADLA,BENI MELLAL,14/01/2025,05/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865516&orgAcronyme=g3h
865518,g3h,05/A/25,Appel d'offres ouvert,AOO,Travaux,"Travaux des collecteurs AV Houman al Fatwaki, G Route FBS à la ville de Beni Mellal et P3 AV Palestine à la ville de FQUIH BEN SALAH",REGIE AUTONOME DE DISTRIBUTION D'EAU ET D'ELECTRICITE DE TADLA,BENI MELLAL,14/01/2025,19/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865518&orgAcronyme=g3h
865520,g3h,06/A/25,Appel d'offres ouvert,AOO,Travaux,Travaux de réseau d'assainissement liquide et station d'épuration des eaux usées au centre d'Oulad Youssef,REGIE AUTONOME DE DISTRIBUTION D'EAU ET D'ELECTRICITE DE TADLA,BENI MELLAL,14/01/2025,19/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=865520&orgAcronyme=g3h
