ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url,est_annule,resultat_definitif,nombre_lots,estimation_totale_ttc
967597,j8k,154/25,Consultation architecturale ouverte,CONSA,Services,ELABORATION DES ETUDES ARCHITECTURALES ET LE SUIVI DES TRAVAUX DE CONSTRUCTION DE L’OPERATION « OCEAN 3 SECTEUR 2 » SIS A LA COMMUNE EL JADIDA – PROGRAMME D’AIDE AU LOGEMENT,SOCIETE AL OMRANE CASABLANCA,MAROC,2025-12-30,2026-01-26 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967597&orgAcronyme=j8k,False,False,1,14400000.0
967603,h5r,04/2025/DS/DUETP/SPPCTE,Appel d'offres ouvert,AOO,Services,vente de bois provenant de l'arrachage des arbres et des outils et équipement usagées appartenant à la commune de BEJAAD.,Commune urbaine de BEJAAD,KHOURIBGA,2025-12-30,2026-01-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967603&orgAcronyme=h5r,False,False,2,16000.0
967608,q1s,01/2026/ORH/SGRID,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DE SECURISATION DES PRISES D’IRRIGATION AU NIVEAU DES RESEAUX D’IRRIGATION DU HAOUZ,OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE D'EL HAOUZ,MARRAKECH,2025-12-30,2026-01-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967608&orgAcronyme=q1s,False,False,1,796800.0
967621,f9f,08/Ask/2025,Appel d'offres ouvert,AOO,Travaux,"TRAVAUX D'APPROVISIONNEMENT ET RENFORCEMENT DE SYSTEME D’ADDUCTION EN EAU POTABLE AUX DOUARS : Adghigh, Lklaat,Timskit,Asfezimer,Wagndoud,Et Winifghan A LA CT ASKAOUNE",C.T. D' ASKAOUEN,TAROUDANNT,2025-12-30,2026-01-28 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967621&orgAcronyme=f9f,False,False,1,1041840.0
967622,q1s,03/2026/ORH/CAI,Appel d'offres ouvert,AOO,Services,ETUDE D’ACTUALISATION DU SYSTEME DE MANAGEMENT DES RISQUES AU SEIN DE L’ORMVA DU HAOUZ,OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE D'EL HAOUZ,MARRAKECH,2025-12-30,2026-01-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967622&orgAcronyme=q1s,False,False,1,179520.0
967634,d4q,SM3129822,Appel d'offres ouvert,AOO,Fournitures,Acquisition de matériel de lutte contre l’incendie,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,TANGER-ASSILAH,2025-12-30,2026-02-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967634&orgAcronyme=d4q,False,False,1,1018080.0
967636,d4q,110/2025/DR9/C/D,Appel d'offres ouvert,AOO,Travaux,Réhabilitation de la S1 de la station de traitement El Hachef.,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,TANGER-ASSILAH,2025-12-30,2026-06-03 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967636&orgAcronyme=d4q,False,False,1,96000000.0
967637,g3h,28/SKAD/2025,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DE CONSTRUCTION DE LA GARE ROUTIÈRE VOYAGEURS DE KENITRA,SOCIETE DE DEVELOPPEMENT LOCAL KENITRA AMENAGEMENT ET DEVELOPPEMENT,KENITRA,2025-12-30,2026-02-11 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967637&orgAcronyme=g3h,False,False,1,119057545.8
967645,q1s,04/2026/ORH/SGRID,Appel d'offres ouvert,AOO,Services,"PRESTATION DE DISTRIBUTION DE L’EAU D’IRRIGATION AU NIVEAU DES PÉRIMÈTRES IRRIGUES DU HAOUZ CENTRAL, K’SOB ET ASSIF EL MAL",OFFICE REGIONAL DE MISE EN VALEUR AGRICOLE D'EL HAOUZ,MARRAKECH,2025-12-30,2026-01-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967645&orgAcronyme=q1s,False,False,1,3583008.0
967648,o8p,25F049,Appel d'offres ouvert,AOO,Fournitures,Extension et Maintenance de système de vidéosurveillance ONCF,OFFICE NATIONAL DES CHEMINS DE FER,TANGER-ASSILAH,2025-12-30,2026-02-18 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=967648&orgAcronyme=o8p,False,False,1,21607940.53
