ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url,est_annule,resultat_definitif,nombre_lots,estimation_totale_ttc
1016741,o8p,15/2026,Appel d'offres ouvert,AOO,Travaux,"TRAVAUX D’ENTRETIEN DE LA MAISON CANTONNIERE RELEVANT DE LA DIRECTION PROVINCIALE DE L'EQUIPEMENT, DU TRANSPORT ET DE LA LOGISTIQUE D’OUARZAZATE SIS AU PARC D'IGHEM NOUGDAL, PROVINCE D’OUARZAZATE",DIRECTEUR PROVINCIAL DE L'EQUIPEMENT OUARZAZAT,OUARZAZATE,2026-07-10,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016741&orgAcronyme=o8p,False,False,1,80122.8
1016757,g3h,10/BG/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DE CONSTRUCTION DE SIEGE DE CERCLE DE TIFLET - PROVINCE DE KHEMISSET,GOUVERNEUR DE KHEMISSET,Province de Khemissat,2026-07-10,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016757&orgAcronyme=g3h,False,False,1,2192952.0
1016767,t5y,16/2026,Appel d'offres ouvert,AOO,Travaux,"Acquisition, installation et mise en service d’un ascenseur au tribunal de famille d’Oujda",DIRECTION PROVINCIALE DE LA JUSTICE A OUJDA,OUJDA-ANGAD,2026-07-03,2026-08-11 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016767&orgAcronyme=t5y,False,False,1,400000.0
1016830,o8p,42/2026/DGH,Appel d'offres ouvert,AOO,Fournitures,Achat de matériel informatique au profit de la Direction Générale de l’Hydraulique à Rabat,DIRECTION GENERALE DE L'HYDRAULIQUE,RABAT,2026-07-10,2026-08-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016830&orgAcronyme=o8p,False,False,1,2596800.0
1016851,g3h,09/2026/PMY,Appel d'offres ouvert,AOO,Travaux,Reconstruction du Pachalik Moulay Yacoub relevant de la Province de Moulay Yacoub.,GOUVERNEUR DE LA PROVINCE DE MOULAY YACOUB,MOULAY-YACOUB,2026-07-09,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016851&orgAcronyme=g3h,False,False,1,3076278.0
1016857,o8p,44/2026/DGH,Appel d'offres ouvert,AOO,Services,Entretien et maintenance des ascenseurs et du monte-charge installés aux bâtiments (principal et annexe) abritant le siège de la Direction Générale de l’Hydraulique du Ministère de l’Equipement et de l’Eau à Rabat.,DIRECTION GENERALE DE L'HYDRAULIQUE,RABAT,2026-07-10,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016857&orgAcronyme=o8p,False,False,1,263160.0
1016878,o8p,35/2026,Appel d'offres ouvert,AOO,Travaux,Travaux d’entretien routier : Construction et entretien des niches et des boucles – Province de Youssoufia–région Marrakech Safi,"DIRECTION PROVINCIALE DE L'EQUIPEMENT, DU TRANSPORT, DE LA LOGISTIQUE ET DE L'EAU DE SAFI",YOUSSOUFIA,2026-07-10,2026-08-11 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016878&orgAcronyme=o8p,False,False,1,275400.0
1016896,o8p,50/2026/DGH,Appel d'offres ouvert,AOO,Services,Le Gardiennage et la Surveillance des Locaux Administratifs Relevant de la Direction Générale de l’Hydraulique à Rabat.,DIRECTION GENERALE DE L'HYDRAULIQUE,RABAT,2026-07-10,2026-08-27 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016896&orgAcronyme=o8p,False,False,1,4683390.0
1016933,q9t,09/2026,Appel d'offres ouvert,AOO,Fournitures,ACHAT DE MEDICAMENTS POUR LE CENTRE HOSPITALIER PROVINCIAL D'OUARZAZATE.,CENTRE HOSPITALIER PROVINCIAL DE OUARZAZATE,OUARZAZATE,2026-07-06,2026-08-19 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016933&orgAcronyme=q9t,False,False,1,4437023.2
1016953,d4q,48/2026/DR9,Appel d'offres ouvert,AOO,Travaux,Travaux de confortement de la conduite d'adduction Oued R'mel alimentant le port Tanger Med -Lot 1: Conduites de réhabilitation du tronçon n°12 (Ghougine)-,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,TANGER-ASSILAH,2026-06-25,2026-08-12 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016953&orgAcronyme=d4q,False,False,1,47760000.0
1017008,q9t,14/CHPK/2026,Appel d'offres ouvert simplifié,AOS,Fournitures,"« Achat de fongibles et consommables pour le Laboratoire de CHP EL KELAA DES SRAGHNA (Hôpital ESSALAMA EL Kelaa Sraghnas, Hôpital de proximité SAR la princesse Lalla Khadija de TAMLALET) ».",CENTRE HOSPITALIER PROVINCIAL DE KELAA ES-SRAGHNA,EL KELAA DES SRAGHNA,2026-07-05,2026-08-04 12:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017008&orgAcronyme=q9t,False,False,1,559322.4
1017068,b5j,COA/01/2026/ALEM,Concours Architectural,CONCA,Services,"Elaboration des études architecturales et suivi des travaux de construction de 9 groupes d'habitations de moyen standing, à Rez de chaussée commercial, au lotissement Al Fidae, sur le terrain objet du TF 137803/13 à Kénitra. Opération « Résidences du Parc ».",AGENCE DE LOGEMENTS ET D'EQUIPEMENTS MILITAIRES,KENITRA,2026-06-29,2026-08-13 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017068&orgAcronyme=b5j,False,False,1,489600000.0
1017097,o8p,SK28/2026,Appel d'offres ouvert,AOO,Travaux,Travaux de reconstruction des deux ouvrages d’art situés au PK 9+600 et PK 10+000 de la RP 4526- Lot Unique - Province de Sidi Kacem.,LE DIRECTEUR PROVINCIAL DE L'EQUIPEMENT ET DU TRANSPORT ET DE LA LOGISTIQUE DE SIDI KACEM,SIDI KACEM,2026-07-07,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017097&orgAcronyme=o8p,False,False,1,6230497.2
1017124,o8p,20/2026/ANEPRSK,Concours Architectural,CONCA,Services,LA CONCEPTION ARCHITECTURALE ET LE SUIVI DES TRAVAUX DE MISE A NIVEAU D'UN BATIMENT ADMINISTRATIF AU SIEGE D'UNE ANNEXE RATTACHEE AU SECRETARIAT GENERAL DU GOUVERNEMENT,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DE RABAT -SALE - KENITRA,RABAT,2026-06-26,2026-08-07 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017124&orgAcronyme=o8p,False,False,1,46320000.0
1017182,o8p,01/2026/GU/REG,Appel d'offres ouvert,AOO,Travaux,Travaux d'entretien et d'aménagement des locaux de la Direction Régionale de l'Equipement du Transport et de la logistique de Guelmim oued noun,DIRECTEUR REGIONAL DE L'EQUIPEMENT ET DU TRANSPORT ET DE LA LOGISTIQUE DE GUELMIM OUED NOUN,GUELMIM,2026-07-06,2026-08-06 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017182&orgAcronyme=o8p,False,False,1,1111254.0
1017229,m8x,35/BR/RGON/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX D’AMENAGEMENT DE L’AVENUE ALQODS (2EME TRANCHE) A LA VILLE DE SIDI IFNI,REGION DE GUELMIM - OUED NOUN,SIDI IFNI,2026-07-10,2026-08-05 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017229&orgAcronyme=m8x,False,False,1,18660583.61
1017291,f4g,02/DRAICS/BH/2026,Appel d'offres ouvert,AOO,Fournitures,"La fourniture, l’installation et la mise en service des chauffe-eau solaires pour plusieurs mosquées dans la région Casablanca - Settat, reparti en deux lots : Lot 1 : la fourniture, l’installation et la mise en service des chauffe-eau solaires pour plusieurs mosquées dans les préfectures de Hay Hassani, Moulay Rachid, Ben M’sick, et sidi Bernoussi. Lot 2 : la fourniture, l’installation et la mise en service des chauffe-eau solaires pour plusieurs mosquées dans les provinces de Settat, El Jadida et Sidi Bennour",DELEGUE REGIONAL DES AFFAIRES ISLAMIQUES DE LA REGION GRAND CASABLANCA,MAROC,2026-06-26,2026-08-11 10:30:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017291&orgAcronyme=f4g,False,False,2,0.0
1017335,k2q,49/2026/DAH,Appel d'offres ouvert,AOO,Services,Etude de conception du barrage Takkat n’Oued Rheris dans la province d’Errachidia,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,ERRACHIDIA,2026-07-10,2026-08-28 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017335&orgAcronyme=k2q,False,False,1,4200000.0
1017345,k2q,52/2026/DAH,Appel d'offres ouvert,AOO,Services,Etude et suivi d’exécution des travaux d’aménagement du tronçon terminal de l’Oued Mghougha dans la ville de Tanger,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,TANGER-ASSILAH,2026-07-10,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017345&orgAcronyme=k2q,False,False,1,1035600.0
1017347,j0w,19/2026,Appel d'offres ouvert,AOO,Travaux,Travaux de mise à niveau des quartiers sous - équipés : Quartier El Massira Commune Chichaoua,Commune urbaine de CHICHAOUA,CHICHAOUA,2026-07-10,2026-09-03 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017347&orgAcronyme=j0w,False,False,1,748000.0
1017354,q0x,21/2026/BP,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DAMENAGEMENT DE LA PISTE RELIANT DOUAR AIT HADI ET LE DISPENSAIRE TOUFASSALT A LA COMMUNE AIN LEUH -PROVINCE IFRANE,Province de IFRANE,IFRANE,2026-07-02,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017354&orgAcronyme=q0x,False,False,1,510000.0
1017357,q1s,18/2026/DPA/10/SS,Appel d'offres ouvert,AOO,Travaux,la Réalisation des travaux de plantation de 150ha du caroubier dans la Province de Rhamna repartis en 3 lots,DIRECTION PROVINCIALE DE L'AGRICULTURE DE RHAMNA,REHAMNA,2026-07-07,2026-08-17 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017357&orgAcronyme=q1s,False,False,3,3000000.0
1017373,j0w,20/2026,Appel d'offres ouvert,AOO,Travaux,Travaux de mise à niveau des quartiers sous - équipés : Quartier Al Qods Commune Chichaoua,Commune urbaine de CHICHAOUA,CHICHAOUA,2026-07-10,2026-09-03 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017373&orgAcronyme=j0w,False,False,1,970000.0
1017394,j0w,21/2026,Appel d'offres ouvert,AOO,Travaux,Travaux de mise à niveau des quartiers sous - équipés : Quartier Al Amal Commune Chichaoua,Commune urbaine de CHICHAOUA,CHICHAOUA,2026-07-10,2026-09-03 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017394&orgAcronyme=j0w,False,False,1,2912000.0
1017412,q9t,032/2026/CHUMVIO,Appel d'offres ouvert,AOO,Fournitures,"« Achat de dispositifs médicaux et chirurgicaux au profit de la Pharmacie Centrale relevant du centre Hospitalo-Universitaire Mohammed VI-Oujda, Réparti en 172 Lots. ».",CENTRE HOSPITALIER UNIVERSITAIRE MOHAMMED VI - OUJDA,MAROC,2026-06-26,2026-08-06 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017412&orgAcronyme=q9t,False,False,172,34861112.72
1017425,g3h,06/2026/SDR.F.I.A.S.E.T.,Appel d'offres ouvert,AOO,Fournitures,"Fourniture, transport, installation et essais de mise en service des transformateurs de puissance HTB/HTA avec fourniture des pièces de rechanges au poste source 60/22 KV LAGHDIRA, Province El Jadida, Région Casablanca Settat.",FORUM D'INVESTISSEMENT ET D'ACTIVITE DE SETTAT - F.I.A.S.E.T,EL JADIDA,2026-06-26,2026-08-07 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017425&orgAcronyme=g3h,False,False,1,17725800.0
1017435,g3h,43/2026,Appel d'offres ouvert,AOO,Fournitures,"Acquisition, installation et mise en service des équipements actifs pour la réingénierie des réseaux informatiques des préfectures et provinces (3 lots)",MINISTERE DE L'INTERIEUR,TANGER-ASSILAH,2026-07-02,2026-08-18 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017435&orgAcronyme=g3h,False,False,3,81744000.0
1017483,w9x,74/DGPC/PF/2026,Appel d'offres ouvert,AOO,Fournitures,l’acquisition des palettes en bois destinées aux plateformes régionales de réserves de première nécessité (02 lots) : Lot n°01 : Palettes en bois 1 ; Lot n°02 : Palettes en bois 2.,DIRECTION GENERALE DE LA PROTECTION CIVILE,TANGER-ASSILAH,2026-07-10,2026-08-25 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017483&orgAcronyme=w9x,False,False,2,6000120.0
1017709,d4q,TC4130723/2026/ONEEBELEC,Appel d'offres ouvert,AOO,Travaux,Extension du poste 225/60kV BENSLIMANE II,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,BENSLIMANE,2026-06-29,2026-08-04 09:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017709&orgAcronyme=d4q,False,False,1,5040000.0
1017731,q1s,8/2026/DPAM,Appel d'offres ouvert,AOO,Services,ASSISTANCE TECHNIQUE POUR LE SUIVI ET LE CONTROLE DES TRAVAUX D’AMENEGEMENT HYDROAGRICOLE ET CONSTRUCTIONS A LA PREFECTURE DE MEKNES.,DIRECTEUR PROVINCIAL D'AGRICULTURE DE MEKNES,MEKNES,2026-07-03,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017731&orgAcronyme=q1s,False,False,1,1135680.0
1017761,o8p,AO09/2026DPETLF,Appel d'offres ouvert,AOO,Travaux,"PC2026 : Travaux de Traitement de l’environnement et des accotements et entretien des ouvrages d’art de la RN4, de la RN17, de la RR601 et de la RR708 relevant de la DPETL de Figuig, Province de FIGUIG",DIRECTEUR PROVINCIAL DE L'EQUIPEMENT A FIGUIG,FIGUIG,2026-07-07,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017761&orgAcronyme=o8p,False,False,1,3839430.0
1017767,b1d,46/CL/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX RELATIFS AU PROGRAMME INTEGRE DE MISE A NIVEAU URBAINE DANS LE CADRE DE LA POLITIQUE DE LA VILLE DE LAAYOUNE - PROVINCE DE LAAYOUNE : MISE A NIVEAU URBAINE DE LA ZONE N°4. SECTEUR N° 1: AMENAGEMENT DE L'AVENUE AL HIZAM,Commune urbaine de LAAYOUNE,LAAYOUNE,2026-07-08,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017767&orgAcronyme=b1d,False,False,1,10510098.0
1017770,d4q,TL1130674/2026/04/ONEEBELEC,Appel d'offres ouvert,AOO,Services,Dégagement des dunes de sable du poste 400/225KV BOUJDOUR (Marché-cadre),OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,BOUJDOUR,2026-06-29,2026-08-04 09:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017770&orgAcronyme=d4q,False,False,1,215500.0
1017784,d4q,TL2130734/2026/05/ONEEBELEC,Appel d'offres ouvert,AOO,Fournitures,Acquisition de la graisse silicone pour la Division Exploitation Transport Dakhla,OFFICE NATIONALE DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE ELECTRICITE,OUED ED DAHAB,2026-06-29,2026-08-04 09:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017784&orgAcronyme=d4q,False,False,1,404900.0
1017785,g3h,04/PK/BG/2026,Appel d'offres ouvert,AOO,Fournitures,Achat de fournitures pour matériel technique et informatique pour les besoins des services de la province de Kenitra,GOUVERNEUR PROVINCIAL DE KENITRA,KENITRA,2026-07-07,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017785&orgAcronyme=g3h,False,False,1,388560.0
1017827,a2a,48/2026/DRPE,Appel d'offres ouvert,AOO,Services,Etude d’élaboration du dictionnaire référentiel des données sur eau au profit de la Direction de la Recherche et de la Planification de l’Eau,DIRECTEUR DE LA RECHERCHE ET DE LA PLANIFICATION DE L'EAU,TANGER-ASSILAH,2026-07-09,2026-08-13 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017827&orgAcronyme=a2a,False,False,1,1200000.0
1017896,f9f,14/2026/BP,Appel d'offres ouvert,AOO,Travaux,"Travaux de mise à niveau du centre de la commune Ammelene (lot : éclairage public solaire), Province de Tiznit, Région Souss Massa",Province de TIZNIT,TIZNIT,2026-07-08,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017896&orgAcronyme=f9f,False,False,1,1256400.0
1017905,k2q,39/2026/DAH,Appel d'offres ouvert,AOO,Services,Actualisation des études de conception du barrage JBEL LAKHAL dans la province de FIGUIG,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,FIGUIG,2026-07-10,2026-08-28 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017905&orgAcronyme=k2q,False,False,1,2040000.0
1017914,f9f,15/2026/BP,Appel d'offres ouvert,AOO,Travaux,"Travaux de mise à niveau du centre de la commune Arbaa sahel (lot : éclairage public solaire), Province de Tiznit, Région Souss Massa.",Province de TIZNIT,TIZNIT,2026-07-08,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017914&orgAcronyme=f9f,False,False,1,1256400.0
1017923,k2q,54/2026/DAH,Appel d'offres ouvert,AOO,Services,Modèle réduit hydraulique du barrage Bouahmed dans la province de Chefchaouen,DIRECTEUR DES AMENAGEMENTS HYDRAULIQUES,CHEFCHAOUEN,2026-07-10,2026-08-31 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017923&orgAcronyme=k2q,False,False,1,3751200.0
1017931,d4q,27/DAM/ET/2026,Appel d'offres ouvert,AOO,Travaux,AEP d’Agadir à partir du barrage Tamri - Lot n°1: Conduites - Equipements- Génie Civil,OFFICE NATIONAL DE L'ELECTRICITE ET DE L'EAU POTABLE - BRANCHE EAU,AGADIR IDA OU TANANE,2026-06-29,2026-08-12 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1017931&orgAcronyme=d4q,False,False,1,96061932.0
